state,district,pincode,pincode_total,district_avg,state_avg
Andhra Pradesh,Adilabad,504215,22,1.8333333333333333,1.8333333333333333
Andhra Pradesh,Adilabad,504216,16,1.2307692307692308,1.2307692307692308
Andhra Pradesh,Adilabad,504219,9,1.5,1.5
Andhra Pradesh,Adilabad,504231,20,1.5384615384615385,1.5384615384615385
Andhra Pradesh,Adilabad,504251,21,1.75,1.75
Andhra Pradesh,Adilabad,504272,5,1.25,1.25
Andhra Pradesh,Adilabad,504273,34,1.8888888888888888,1.8888888888888888
Andhra Pradesh,Adilabad,504292,10,1.4285714285714286,1.4285714285714286
Andhra Pradesh,Adilabad,504293,17,1.4166666666666667,1.4166666666666667
Andhra Pradesh,Adilabad,504294,41,2.2777777777777777,2.2777777777777777
Andhra Pradesh,Adilabad,504295,31,2.5833333333333335,2.5833333333333335
Andhra Pradesh,Adilabad,504296,69,2.6538461538461537,2.6538461538461537
Andhra Pradesh,Adilabad,504299,88,3.0344827586206895,3.0344827586206895
Andhra Pradesh,Adilabad,504301,10,1.6666666666666667,1.6666666666666667
Andhra Pradesh,Adilabad,504302,16,1.4545454545454546,1.4545454545454546
Andhra Pradesh,Adilabad,504303,4,1.0,1.0
Andhra Pradesh,Adilabad,504304,4,1.0,1.0
Andhra Pradesh,Adilabad,504306,3,1.0,1.0
Andhra Pradesh,Adilabad,504307,48,2.1818181818181817,2.1818181818181817
Andhra Pradesh,Adilabad,504308,17,1.3076923076923077,1.3076923076923077
Andhra Pradesh,Adilabad,504309,8,1.1428571428571428,1.1428571428571428
Andhra Pradesh,Adilabad,504310,1,1.0,1.0
Andhra Pradesh,Adilabad,504311,39,1.7727272727272727,1.7727272727272727
Andhra Pradesh,Adilabad,504312,13,1.3,1.3
Andhra Pradesh,Adilabad,504313,65,2.5,2.5
Andhra Pradesh,Adilabad,504346,21,1.6153846153846154,1.6153846153846154
Andhra Pradesh,Alluri Sitharama Raju,507111,15,1.3636363636363635,1.3636363636363635
Andhra Pradesh,Alluri Sitharama Raju,507121,10,1.1111111111111112,1.1111111111111112
Andhra Pradesh,Alluri Sitharama Raju,507129,21,1.5,1.5
Andhra Pradesh,Alluri Sitharama Raju,507134,10,1.4285714285714286,1.4285714285714286
Andhra Pradesh,Alluri Sitharama Raju,507135,5,1.25,1.25
Andhra Pradesh,Alluri Sitharama Raju,531024,54,2.16,2.16
Andhra Pradesh,Alluri Sitharama Raju,531029,46,1.5862068965517242,1.5862068965517242
Andhra Pradesh,Alluri Sitharama Raju,531030,1,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,531040,66,2.129032258064516,2.129032258064516
Andhra Pradesh,Alluri Sitharama Raju,531077,64,2.2857142857142856,2.2857142857142856
Andhra Pradesh,Alluri Sitharama Raju,531084,9,1.5,1.5
Andhra Pradesh,Alluri Sitharama Raju,531087,17,1.4166666666666667,1.4166666666666667
Andhra Pradesh,Alluri Sitharama Raju,531105,20,2.0,2.0
Andhra Pradesh,Alluri Sitharama Raju,531110,1,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,531111,44,1.5172413793103448,1.5172413793103448
Andhra Pradesh,Alluri Sitharama Raju,531116,9,1.2857142857142858,1.2857142857142858
Andhra Pradesh,Alluri Sitharama Raju,531118,21,1.5,1.5
Andhra Pradesh,Alluri Sitharama Raju,531133,21,1.2352941176470589,1.2352941176470589
Andhra Pradesh,Alluri Sitharama Raju,531149,14,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Alluri Sitharama Raju,531151,36,1.894736842105263,1.894736842105263
Andhra Pradesh,Alluri Sitharama Raju,533284,3,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533285,7,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Alluri Sitharama Raju,533286,1,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533288,28,1.75,1.75
Andhra Pradesh,Alluri Sitharama Raju,533295,11,1.1,1.1
Andhra Pradesh,Alluri Sitharama Raju,533339,1,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533347,1,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533348,3,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533428,12,1.2,1.2
Andhra Pradesh,Alluri Sitharama Raju,533429,2,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533436,8,1.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533483,27,1.9285714285714286,1.9285714285714286
Andhra Pradesh,Alluri Sitharama Raju,535145,9,1.5,1.5
Andhra Pradesh,Anakapalli,530046,6,1.5,1.5
Andhra Pradesh,Anakapalli,531001,15,1.3636363636363635,1.3636363636363635
Andhra Pradesh,Anakapalli,531002,6,1.2,1.2
Andhra Pradesh,Anakapalli,531011,12,1.0,1.0
Andhra Pradesh,Anakapalli,531019,1,1.0,1.0
Andhra Pradesh,Anakapalli,531020,3,1.0,1.0
Andhra Pradesh,Anakapalli,531021,6,1.0,1.0
Andhra Pradesh,Anakapalli,531022,1,1.0,1.0
Andhra Pradesh,Anakapalli,531023,2,1.0,1.0
Andhra Pradesh,Anakapalli,531025,2,2.0,2.0
Andhra Pradesh,Anakapalli,531026,6,1.5,1.5
Andhra Pradesh,Anakapalli,531027,15,1.25,1.25
Andhra Pradesh,Anakapalli,531028,4,1.0,1.0
Andhra Pradesh,Anakapalli,531030,5,1.0,1.0
Andhra Pradesh,Anakapalli,531031,8,1.0,1.0
Andhra Pradesh,Anakapalli,531032,3,1.0,1.0
Andhra Pradesh,Anakapalli,531033,7,1.0,1.0
Andhra Pradesh,Anakapalli,531034,3,1.0,1.0
Andhra Pradesh,Anakapalli,531035,15,1.5,1.5
Andhra Pradesh,Anakapalli,531036,3,1.0,1.0
Andhra Pradesh,Anakapalli,531055,10,1.0,1.0
Andhra Pradesh,Anakapalli,531060,1,1.0,1.0
Andhra Pradesh,Anakapalli,531061,5,1.0,1.0
Andhra Pradesh,Anakapalli,531075,3,1.0,1.0
Andhra Pradesh,Anakapalli,531081,6,1.0,1.0
Andhra Pradesh,Anakapalli,531082,3,1.0,1.0
Andhra Pradesh,Anakapalli,531083,6,1.2,1.2
Andhra Pradesh,Anakapalli,531084,3,1.0,1.0
Andhra Pradesh,Anakapalli,531085,4,1.0,1.0
Andhra Pradesh,Anakapalli,531113,10,1.4285714285714286,1.4285714285714286
Andhra Pradesh,Anakapalli,531114,4,1.0,1.0
Andhra Pradesh,Anakapalli,531115,4,1.0,1.0
Andhra Pradesh,Anakapalli,531116,15,1.1538461538461537,1.1538461538461537
Andhra Pradesh,Anakapalli,531117,1,1.0,1.0
Andhra Pradesh,Anakapalli,531126,12,1.5,1.5
Andhra Pradesh,Anakapalli,531127,5,1.0,1.0
Andhra Pradesh,Anantapur,515001,87,2.9,2.9
Andhra Pradesh,Anantapur,515002,7,1.4,1.4
Andhra Pradesh,Anantapur,515003,1,1.0,1.0
Andhra Pradesh,Anantapur,515004,30,1.5,1.5
Andhra Pradesh,Anantapur,515101,17,1.2142857142857142,1.2142857142857142
Andhra Pradesh,Anantapur,515110,18,1.3846153846153846,1.3846153846153846
Andhra Pradesh,Anantapur,515122,9,1.0,1.0
Andhra Pradesh,Anantapur,515123,12,1.0909090909090908,1.0909090909090908
Andhra Pradesh,Anantapur,515124,7,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Anantapur,515133,11,1.375,1.375
Andhra Pradesh,Anantapur,515134,11,1.1,1.1
Andhra Pradesh,Anantapur,515144,23,1.2105263157894737,1.2105263157894737
Andhra Pradesh,Anantapur,515154,9,1.8,1.8
Andhra Pradesh,Anantapur,515159,3,1.0,1.0
Andhra Pradesh,Anantapur,515164,11,1.2222222222222223,1.2222222222222223
Andhra Pradesh,Anantapur,515201,52,2.260869565217391,2.260869565217391
Andhra Pradesh,Anantapur,515211,9,1.0,1.0
Andhra Pradesh,Anantapur,515212,9,1.125,1.125
Andhra Pradesh,Anantapur,515231,14,1.2727272727272727,1.2727272727272727
Andhra Pradesh,Anantapur,515241,10,1.1111111111111112,1.1111111111111112
Andhra Pradesh,Anantapur,515261,16,1.4545454545454546,1.4545454545454546
Andhra Pradesh,Anantapur,515271,9,1.125,1.125
Andhra Pradesh,Anantapur,515281,7,1.0,1.0
Andhra Pradesh,Anantapur,515286,7,1.4,1.4
Andhra Pradesh,Anantapur,515291,11,1.375,1.375
Andhra Pradesh,Anantapur,515301,17,1.2142857142857142,1.2142857142857142
Andhra Pradesh,Anantapur,515303,9,1.125,1.125
Andhra Pradesh,Anantapur,515305,8,1.1428571428571428,1.1428571428571428
Andhra Pradesh,Anantapur,515311,11,1.5714285714285714,1.5714285714285714
Andhra Pradesh,Anantapur,515321,17,2.125,2.125
Andhra Pradesh,Anantapur,515331,24,1.6,1.6
Andhra Pradesh,Anantapur,515341,6,1.0,1.0
Andhra Pradesh,Anantapur,515401,38,1.4074074074074074,1.4074074074074074
Andhra Pradesh,Anantapur,515402,15,1.1538461538461537,1.1538461538461537
Andhra Pradesh,Anantapur,515405,11,1.1,1.1
Andhra Pradesh,Anantapur,515408,16,1.4545454545454546,1.4545454545454546
Andhra Pradesh,Anantapur,515411,77,2.3333333333333335,2.3333333333333335
Andhra Pradesh,Anantapur,515414,5,1.0,1.0
Andhra Pradesh,Anantapur,515415,2,1.0,1.0
Andhra Pradesh,Anantapur,515425,41,1.9523809523809523,1.9523809523809523
Andhra Pradesh,Anantapur,515435,10,1.1111111111111112,1.1111111111111112
Andhra Pradesh,Anantapur,515445,14,1.2727272727272727,1.2727272727272727
Andhra Pradesh,Anantapur,515455,18,1.2857142857142858,1.2857142857142858
Andhra Pradesh,Anantapur,515465,22,1.375,1.375
Andhra Pradesh,Anantapur,515501,10,1.25,1.25
Andhra Pradesh,Anantapur,515511,8,1.0,1.0
Andhra Pradesh,Anantapur,515521,17,1.2142857142857142,1.2142857142857142
Andhra Pradesh,Anantapur,515531,8,1.1428571428571428,1.1428571428571428
Andhra Pradesh,Anantapur,515541,11,1.2222222222222223,1.2222222222222223
Andhra Pradesh,Anantapur,515551,11,1.1,1.1
Andhra Pradesh,Anantapur,515556,4,1.0,1.0
Andhra Pradesh,Anantapur,515561,13,1.3,1.3
Andhra Pradesh,Anantapur,515571,22,1.375,1.375
Andhra Pradesh,Anantapur,515581,16,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Anantapur,515591,62,2.066666666666667,2.066666666666667
Andhra Pradesh,Anantapur,515601,4,1.0,1.0
Andhra Pradesh,Anantapur,515611,14,1.0769230769230769,1.0769230769230769
Andhra Pradesh,Anantapur,515621,15,1.5,1.5
Andhra Pradesh,Anantapur,515631,17,1.2142857142857142,1.2142857142857142
Andhra Pradesh,Anantapur,515641,10,1.1111111111111112,1.1111111111111112
Andhra Pradesh,Anantapur,515651,15,1.5,1.5
Andhra Pradesh,Anantapur,515661,12,1.5,1.5
Andhra Pradesh,Anantapur,515671,49,1.8846153846153846,1.8846153846153846
Andhra Pradesh,Anantapur,515672,16,1.4545454545454546,1.4545454545454546
Andhra Pradesh,Anantapur,515701,51,1.9615384615384615,1.9615384615384615
Andhra Pradesh,Anantapur,515711,29,1.380952380952381,1.380952380952381
Andhra Pradesh,Anantapur,515721,9,1.0,1.0
Andhra Pradesh,Anantapur,515722,11,1.375,1.375
Andhra Pradesh,Anantapur,515731,39,1.625,1.625
Andhra Pradesh,Anantapur,515741,32,1.6,1.6
Andhra Pradesh,Anantapur,515751,26,1.368421052631579,1.368421052631579
Andhra Pradesh,Anantapur,515761,53,2.2083333333333335,2.2083333333333335
Andhra Pradesh,Anantapur,515763,9,1.125,1.125
Andhra Pradesh,Anantapur,515765,23,1.5333333333333334,1.5333333333333334
Andhra Pradesh,Anantapur,515766,43,2.15,2.15
Andhra Pradesh,Anantapur,515767,23,1.3529411764705883,1.3529411764705883
Andhra Pradesh,Anantapur,515774,7,1.0,1.0
Andhra Pradesh,Anantapur,515775,36,1.894736842105263,1.894736842105263
Andhra Pradesh,Anantapur,515787,16,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Anantapur,515801,57,2.1923076923076925,2.1923076923076925
Andhra Pradesh,Anantapur,515803,9,1.2857142857142858,1.2857142857142858
Andhra Pradesh,Anantapur,515812,49,2.3333333333333335,2.3333333333333335
Andhra Pradesh,Anantapur,515822,25,1.3157894736842106,1.3157894736842106
Andhra Pradesh,Anantapur,515832,24,1.8461538461538463,1.8461538461538463
Andhra Pradesh,Anantapur,515842,28,1.4,1.4
Andhra Pradesh,Anantapur,515863,30,1.7647058823529411,1.7647058823529411
Andhra Pradesh,Anantapur,515865,120,3.6363636363636362,3.6363636363636362
Andhra Pradesh,Anantapur,515867,42,1.9090909090909092,1.9090909090909092
Andhra Pradesh,Anantapur,515870,35,1.9444444444444444,1.9444444444444444
Andhra Pradesh,Anantapur,515871,82,3.037037037037037,3.037037037037037
Andhra Pradesh,Anantapur,515872,9,1.125,1.125
Andhra Pradesh,Ananthapur,515001,42,1.9090909090909092,1.9090909090909092
Andhra Pradesh,Ananthapur,515002,3,1.0,1.0
Andhra Pradesh,Ananthapur,515003,1,1.0,1.0
Andhra Pradesh,Ananthapur,515004,25,1.3888888888888888,1.3888888888888888
Andhra Pradesh,Ananthapur,515101,7,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Ananthapur,515110,5,1.0,1.0
Andhra Pradesh,Ananthapur,515122,4,1.0,1.0
Andhra Pradesh,Ananthapur,515123,2,1.0,1.0
Andhra Pradesh,Ananthapur,515124,2,1.0,1.0
Andhra Pradesh,Ananthapur,515133,2,1.0,1.0
Andhra Pradesh,Ananthapur,515134,3,1.0,1.0
Andhra Pradesh,Ananthapur,515144,6,1.2,1.2
Andhra Pradesh,Ananthapur,515154,7,1.0,1.0
Andhra Pradesh,Ananthapur,515159,2,1.0,1.0
Andhra Pradesh,Ananthapur,515164,5,1.0,1.0
Andhra Pradesh,Ananthapur,515201,38,1.9,1.9
Andhra Pradesh,Ananthapur,515211,10,1.1111111111111112,1.1111111111111112
Andhra Pradesh,Ananthapur,515212,1,1.0,1.0
Andhra Pradesh,Ananthapur,515231,14,1.2727272727272727,1.2727272727272727
Andhra Pradesh,Ananthapur,515241,2,1.0,1.0
Andhra Pradesh,Ananthapur,515261,6,1.2,1.2
Andhra Pradesh,Ananthapur,515271,5,1.0,1.0
Andhra Pradesh,Ananthapur,515286,6,1.2,1.2
Andhra Pradesh,Ananthapur,515291,3,1.0,1.0
Andhra Pradesh,Ananthapur,515301,16,1.7777777777777777,1.7777777777777777
Andhra Pradesh,Ananthapur,515303,2,1.0,1.0
Andhra Pradesh,Ananthapur,515305,2,1.0,1.0
Andhra Pradesh,Ananthapur,515311,1,1.0,1.0
Andhra Pradesh,Ananthapur,515321,3,1.0,1.0
Andhra Pradesh,Ananthapur,515331,4,1.0,1.0
Andhra Pradesh,Ananthapur,515341,1,1.0,1.0
Andhra Pradesh,Ananthapur,515401,16,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Ananthapur,515402,2,1.0,1.0
Andhra Pradesh,Ananthapur,515405,6,1.0,1.0
Andhra Pradesh,Ananthapur,515408,9,1.2857142857142858,1.2857142857142858
Andhra Pradesh,Ananthapur,515411,22,1.4666666666666666,1.4666666666666666
Andhra Pradesh,Ananthapur,515414,6,1.0,1.0
Andhra Pradesh,Ananthapur,515415,7,1.0,1.0
Andhra Pradesh,Ananthapur,515425,9,1.125,1.125
Andhra Pradesh,Ananthapur,515435,1,1.0,1.0
Andhra Pradesh,Ananthapur,515445,4,1.0,1.0
Andhra Pradesh,Ananthapur,515455,9,1.125,1.125
Andhra Pradesh,Ananthapur,515465,6,1.2,1.2
Andhra Pradesh,Ananthapur,515501,6,1.0,1.0
Andhra Pradesh,Ananthapur,515511,5,1.0,1.0
Andhra Pradesh,Ananthapur,515521,4,1.0,1.0
Andhra Pradesh,Ananthapur,515531,4,1.0,1.0
Andhra Pradesh,Ananthapur,515541,2,1.0,1.0
Andhra Pradesh,Ananthapur,515551,3,1.5,1.5
Andhra Pradesh,Ananthapur,515556,3,1.0,1.0
Andhra Pradesh,Ananthapur,515561,9,1.5,1.5
Andhra Pradesh,Ananthapur,515571,4,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Ananthapur,515581,8,1.1428571428571428,1.1428571428571428
Andhra Pradesh,Ananthapur,515591,31,1.55,1.55
Andhra Pradesh,Ananthapur,515611,8,1.6,1.6
Andhra Pradesh,Ananthapur,515621,11,1.0,1.0
Andhra Pradesh,Ananthapur,515631,7,1.4,1.4
Andhra Pradesh,Ananthapur,515641,16,1.4545454545454546,1.4545454545454546
Andhra Pradesh,Ananthapur,515651,8,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Ananthapur,515661,5,1.0,1.0
Andhra Pradesh,Ananthapur,515671,31,1.4761904761904763,1.4761904761904763
Andhra Pradesh,Ananthapur,515672,23,1.5333333333333334,1.5333333333333334
Andhra Pradesh,Ananthapur,515701,17,1.2142857142857142,1.2142857142857142
Andhra Pradesh,Ananthapur,515711,12,1.0,1.0
Andhra Pradesh,Ananthapur,515721,1,1.0,1.0
Andhra Pradesh,Ananthapur,515731,14,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Ananthapur,515741,4,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Ananthapur,515751,11,1.375,1.375
Andhra Pradesh,Ananthapur,515761,46,2.0,2.0
Andhra Pradesh,Ananthapur,515763,11,1.1,1.1
Andhra Pradesh,Ananthapur,515765,15,1.3636363636363635,1.3636363636363635
Andhra Pradesh,Ananthapur,515766,3,1.0,1.0
Andhra Pradesh,Ananthapur,515767,8,1.1428571428571428,1.1428571428571428
Andhra Pradesh,Ananthapur,515774,2,1.0,1.0
Andhra Pradesh,Ananthapur,515775,7,1.0,1.0
Andhra Pradesh,Ananthapur,515787,10,1.1111111111111112,1.1111111111111112
Andhra Pradesh,Ananthapur,515801,38,1.9,1.9
Andhra Pradesh,Ananthapur,515803,9,1.125,1.125
Andhra Pradesh,Ananthapur,515812,14,1.2727272727272727,1.2727272727272727
Andhra Pradesh,Ananthapur,515822,5,1.0,1.0
Andhra Pradesh,Ananthapur,515832,10,1.25,1.25
Andhra Pradesh,Ananthapur,515842,8,1.0,1.0
Andhra Pradesh,Ananthapur,515863,6,1.2,1.2
Andhra Pradesh,Ananthapur,515865,55,2.1153846153846154,2.1153846153846154
Andhra Pradesh,Ananthapur,515867,19,1.3571428571428572,1.3571428571428572
Andhra Pradesh,Ananthapur,515870,7,1.4,1.4
Andhra Pradesh,Ananthapur,515871,28,1.4736842105263157,1.4736842105263157
Andhra Pradesh,Ananthapur,515872,3,1.5,1.5
Andhra Pradesh,Ananthapuramu,515001,81,2.7,2.7
Andhra Pradesh,Ananthapuramu,515002,26,1.5294117647058822,1.5294117647058822
Andhra Pradesh,Ananthapuramu,515003,5,1.0,1.0
Andhra Pradesh,Ananthapuramu,515004,57,2.0357142857142856,2.0357142857142856
Andhra Pradesh,Ananthapuramu,515005,1,1.0,1.0
Andhra Pradesh,Ananthapuramu,515101,4,1.0,1.0
Andhra Pradesh,Ananthapuramu,515110,7,1.0,1.0
Andhra Pradesh,Ananthapuramu,515122,9,1.0,1.0
Andhra Pradesh,Ananthapuramu,515123,6,1.0,1.0
Andhra Pradesh,Ananthapuramu,515124,1,1.0,1.0
Andhra Pradesh,Ananthapuramu,515133,6,1.2,1.2
Andhra Pradesh,Ananthapuramu,515134,14,1.0769230769230769,1.0769230769230769
Andhra Pradesh,Ananthapuramu,515144,7,1.0,1.0
Andhra Pradesh,Ananthapuramu,515154,8,1.6,1.6
Andhra Pradesh,Ananthapuramu,515159,2,1.0,1.0
Andhra Pradesh,Ananthapuramu,515164,5,1.25,1.25
Andhra Pradesh,Ananthapuramu,515201,15,1.875,1.875
Andhra Pradesh,Ananthapuramu,515211,3,1.0,1.0
Andhra Pradesh,Ananthapuramu,515212,10,1.1111111111111112,1.1111111111111112
Andhra Pradesh,Ananthapuramu,515231,20,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Ananthapuramu,515241,5,1.25,1.25
Andhra Pradesh,Ananthapuramu,515261,6,1.2,1.2
Andhra Pradesh,Ananthapuramu,515271,1,1.0,1.0
Andhra Pradesh,Ananthapuramu,515281,8,1.6,1.6
Andhra Pradesh,Ananthapuramu,515286,1,1.0,1.0
Andhra Pradesh,Ananthapuramu,515291,1,1.0,1.0
Andhra Pradesh,Ananthapuramu,515301,6,1.0,1.0
Andhra Pradesh,Ananthapuramu,515303,2,1.0,1.0
Andhra Pradesh,Ananthapuramu,515305,4,1.0,1.0
Andhra Pradesh,Ananthapuramu,515311,4,1.0,1.0
Andhra Pradesh,Ananthapuramu,515321,5,1.6666666666666667,1.6666666666666667
Andhra Pradesh,Ananthapuramu,515331,5,1.0,1.0
Andhra Pradesh,Ananthapuramu,515341,8,1.0,1.0
Andhra Pradesh,Ananthapuramu,515401,24,1.6,1.6
Andhra Pradesh,Ananthapuramu,515402,4,1.0,1.0
Andhra Pradesh,Ananthapuramu,515405,14,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Ananthapuramu,515408,14,1.0769230769230769,1.0769230769230769
Andhra Pradesh,Ananthapuramu,515411,48,2.2857142857142856,2.2857142857142856
Andhra Pradesh,Ananthapuramu,515414,6,1.0,1.0
Andhra Pradesh,Ananthapuramu,515415,6,1.0,1.0
Andhra Pradesh,Ananthapuramu,515425,20,1.4285714285714286,1.4285714285714286
Andhra Pradesh,Ananthapuramu,515435,7,1.0,1.0
Andhra Pradesh,Ananthapuramu,515445,3,1.0,1.0
Andhra Pradesh,Ananthapuramu,515455,11,1.0,1.0
Andhra Pradesh,Ananthapuramu,515465,16,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Ananthapuramu,515501,14,1.2727272727272727,1.2727272727272727
Andhra Pradesh,Ananthapuramu,515511,12,1.7142857142857142,1.7142857142857142
Andhra Pradesh,Ananthapuramu,515521,14,1.2727272727272727,1.2727272727272727
Andhra Pradesh,Ananthapuramu,515531,11,1.1,1.1
Andhra Pradesh,Ananthapuramu,515541,10,1.0,1.0
Andhra Pradesh,Ananthapuramu,515551,7,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Ananthapuramu,515556,6,1.2,1.2
Andhra Pradesh,Ananthapuramu,515561,12,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Ananthapuramu,515571,7,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Ananthapuramu,515581,12,1.0,1.0
Andhra Pradesh,Ananthapuramu,515591,28,1.75,1.75
Andhra Pradesh,Ananthapuramu,515601,2,1.0,1.0
Andhra Pradesh,Ananthapuramu,515611,9,1.125,1.125
Andhra Pradesh,Ananthapuramu,515621,6,1.2,1.2
Andhra Pradesh,Ananthapuramu,515631,5,1.0,1.0
Andhra Pradesh,Ananthapuramu,515641,11,1.0,1.0
Andhra Pradesh,Ananthapuramu,515651,9,1.125,1.125
Andhra Pradesh,Ananthapuramu,515661,6,1.0,1.0
Andhra Pradesh,Ananthapuramu,515671,21,1.3125,1.3125
Andhra Pradesh,Ananthapuramu,515672,5,1.6666666666666667,1.6666666666666667
Andhra Pradesh,Ananthapuramu,515701,38,1.6521739130434783,1.6521739130434783
Andhra Pradesh,Ananthapuramu,515711,12,1.5,1.5
Andhra Pradesh,Ananthapuramu,515721,3,1.0,1.0
Andhra Pradesh,Ananthapuramu,515722,8,1.0,1.0
Andhra Pradesh,Ananthapuramu,515731,26,1.5294117647058822,1.5294117647058822
Andhra Pradesh,Ananthapuramu,515741,13,1.0,1.0
Andhra Pradesh,Ananthapuramu,515751,27,1.5,1.5
Andhra Pradesh,Ananthapuramu,515761,38,1.7272727272727273,1.7272727272727273
Andhra Pradesh,Ananthapuramu,515763,9,1.2857142857142858,1.2857142857142858
Andhra Pradesh,Ananthapuramu,515765,21,1.4,1.4
Andhra Pradesh,Ananthapuramu,515766,21,1.75,1.75
Andhra Pradesh,Ananthapuramu,515767,12,1.0909090909090908,1.0909090909090908
Andhra Pradesh,Ananthapuramu,515774,9,1.2857142857142858,1.2857142857142858
Andhra Pradesh,Ananthapuramu,515775,34,1.7,1.7
